,count_1,routine_flg,period,is_deleted,campaign_name_入会費半額,campaign_name_入会費無料,class_name_オールタイム,class_name_デイタイム,gender_F
0,3.0,1.0,46,0.0,0,0,1,0,1
1,6.0,1.0,21,0.0,0,0,1,0,1
2,3.0,1.0,38,0.0,0,0,0,0,1
3,10.0,1.0,8,0.0,0,0,0,1,1
4,3.0,1.0,32,0.0,1,0,0,0,1
5,4.0,1.0,19,0.0,0,0,0,0,0
6,5.0,1.0,36,0.0,0,0,0,0,1
7,7.0,1.0,38,0.0,0,0,0,0,1
8,7.0,1.0,29,0.0,0,0,1,0,1
9,5.0,1.0,35,0.0,0,0,0,1,0
10,5.0,1.0,21,0.0,0,0,1,0,0
11,8.0,1.0,0,0.0,1,0,0,0,1
12,10.0,1.0,7,0.0,1,0,1,0,1
13,4.0,1.0,12,0.0,0,0,0,0,0
14,12.0,1.0,0,0.0,1,0,1,0,0
15,7.0,1.0,1,0.0,0,1,1,0,1
16,6.0,1.0,11,0.0,1,0,1,0,1
17,7.0,1.0,30,0.0,0,0,0,1,1
18,8.0,1.0,37,0.0,0,0,1,0,0
19,8.0,1.0,19,0.0,0,0,0,0,0
20,7.0,1.0,43,0.0,0,0,0,0,0
21,7.0,1.0,3,0.0,1,0,0,0,0
22,7.0,1.0,4,0.0,1,0,0,1,0
23,1.0,1.0,28,0.0,0,0,1,0,0
24,3.0,1.0,38,0.0,0,0,0,1,1
25,5.0,1.0,21,0.0,0,0,1,0,0
26,2.0,1.0,23,0.0,0,0,1,0,0
27,5.0,1.0,23,0.0,0,0,1,0,1
28,6.0,1.0,21,0.0,0,0,0,1,1
29,6.0,1.0,12,0.0,1,0,1,0,0
30,5.0,1.0,24,0.0,0,0,1,0,0
31,6.0,1.0,14,0.0,0,0,0,0,0
32,7.0,1.0,36,0.0,0,0,1,0,0
33,7.0,1.0,2,0.0,1,0,1,0,0
34,3.0,1.0,34,0.0,0,0,0,0,0
35,7.0,1.0,23,0.0,0,0,1,0,0
36,8.0,1.0,7,0.0,0,0,0,0,1
37,6.0,1.0,37,0.0,0,0,0,0,0
38,4.0,1.0,43,0.0,0,0,0,0,0
39,6.0,1.0,15,0.0,0,0,0,1,1
40,3.0,1.0,35,0.0,0,0,0,0,0
41,6.0,1.0,12,0.0,0,0,1,0,0
